employer,employer_url,ats,search_term,job_title,job_url,extraction_reason,captured_at
FTI Consulting Life Sciences,https://www.fticonsulting.com/careers,Workday (embedded/blocked API),research,"Director, Transaction Services | Mergers, Integrations & Carve-Outs | Corporate Finance",https://fticonsulting.wd108.myworkdayjobs.com/en-US/FTIConsultingCareers/job/Denver-CO/Director--Transaction-Services---Mergers--Integrations---Carve-Outs---Corporate-Finance_JR260WP-TEE?q=research,card[css-19uc56f  jobTitle]; data-automation-id=jobTitle; url[/job/]; title_pattern,2026-06-21T22:39:53.657934+00:00
FTI Consulting Life Sciences,https://www.fticonsulting.com/careers,Workday (embedded/blocked API),research,"Senior Director, HRMA | Forensic & Litigation Consulting",https://fticonsulting.wd108.myworkdayjobs.com/en-US/FTIConsultingCareers/job/United-States/Senior-Director--HRMA---Forensic---Litigation-Consulting_JR260VQ-TEE?q=research,card[css-19uc56f  jobTitle]; data-automation-id=jobTitle; url[/job/]; title_pattern,2026-06-21T22:39:53.657934+00:00
FTI Consulting Life Sciences,https://www.fticonsulting.com/careers,Workday (embedded/blocked API),research,"Executive Assistant Team Lead, Strategic Communications",https://fticonsulting.wd108.myworkdayjobs.com/en-US/FTIConsultingCareers/job/New-York-NY/Executive-Assistant-Team-Lead--Strategic-Communications_JR260142?q=research,card[css-19uc56f  jobTitle]; data-automation-id=jobTitle; url[/job/]; title_pattern,2026-06-21T22:39:53.657934+00:00
FTI Consulting Life Sciences,https://www.fticonsulting.com/careers,Workday (embedded/blocked API),research,Senior Conflicts Analyst,https://fticonsulting.wd108.myworkdayjobs.com/en-US/FTIConsultingCareers/job/United-States/Senior-Conflicts-Analyst_JR260102?q=research,card[css-19uc56f  jobTitle]; data-automation-id=jobTitle; url[/job/]; title_pattern,2026-06-21T22:39:53.657934+00:00
FTI Consulting Life Sciences,https://www.fticonsulting.com/careers,Workday (embedded/blocked API),research,"Consultant, M&A and Activism Communications",https://fticonsulting.wd108.myworkdayjobs.com/en-US/FTIConsultingCareers/job/Chicago-IL/Consultant--M-A-and-Activism-Communications_JR260P9-TEE?q=research,card[css-19uc56f  jobTitle]; data-automation-id=jobTitle; url[/job/]; title_pattern,2026-06-21T22:39:53.657934+00:00
FTI Consulting Life Sciences,https://www.fticonsulting.com/careers,Workday (embedded/blocked API),research,"Consultant, Center for Healthcare Economics and Policy",https://fticonsulting.wd108.myworkdayjobs.com/en-US/FTIConsultingCareers/job/Washington-DC/Consultant--Center-for-Healthcare-Economics-and-Policy_JR260135-1?q=research,card[css-19uc56f  jobTitle]; data-automation-id=jobTitle; url[/job/]; title_pattern,2026-06-21T22:39:53.657934+00:00
FTI Consulting Life Sciences,https://www.fticonsulting.com/careers,Workday (embedded/blocked API),research,"Director (Energy), Economic Regulation Advisory",https://fticonsulting.wd108.myworkdayjobs.com/en-US/FTIConsultingCareers/job/Paris-France/Director--Energy---Economic-Regulation-Advisory_JR251AG-TEE-1?q=research,card[css-19uc56f  jobTitle]; data-automation-id=jobTitle; url[/job/]; title_pattern,2026-06-21T22:39:53.657934+00:00
FTI Consulting Life Sciences,https://www.fticonsulting.com/careers,Workday (embedded/blocked API),research,"Senior Consultant (Energy), Economic Regulation Advisory",https://fticonsulting.wd108.myworkdayjobs.com/en-US/FTIConsultingCareers/job/Paris-France/Senior-Consultant--Energy---Economic-Regulation-Advisory_JR260100?q=research,card[css-19uc56f  jobTitle]; data-automation-id=jobTitle; url[/job/]; title_pattern,2026-06-21T22:39:53.657934+00:00
FTI Consulting Life Sciences,https://www.fticonsulting.com/careers,Workday (embedded/blocked API),research,"Director, Acuity Review Manager | Technology",https://fticonsulting.wd108.myworkdayjobs.com/en-US/FTIConsultingCareers/job/Washington-DC/Director--Acuity-Review-Manager---Technology_JR26087-TEE?q=research,card[css-19uc56f  jobTitle]; data-automation-id=jobTitle; url[/job/]; title_pattern,2026-06-21T22:39:53.657934+00:00
FTI Consulting Life Sciences,https://www.fticonsulting.com/careers,Workday (embedded/blocked API),research,"Consultant, Public Affairs - Energy",https://fticonsulting.wd108.myworkdayjobs.com/en-US/FTIConsultingCareers/job/Washington-DC/Consultant--Public-Affairs---Energy_JR260TS-TEE?q=research,card[css-19uc56f  jobTitle]; data-automation-id=jobTitle; url[/job/]; title_pattern,2026-06-21T22:39:53.657934+00:00
